page_latest_low,page_latest_high,page_len_low,page_len_high,num_rows
4688722,6037099,76962,1255795,189,
4120255,4266840,627670,1057584,0,
779808,3488258,435617,1286199,1,
3106389,6256160,490961,819415,4,
4792035,5559692,281566,379488,4,
1295700,1563252,169555,185848,0,
443010,3958050,145337,248478,4,
2392576,5596298,98283,121543,65,
545042,4028662,396066,993280,1,
569756,2119672,1080615,1566864,0,
1407327,5928119,1329889,1414262,0,
5398199,6363939,365460,1004470,5,
3941073,4028756,529751,1107260,0,
2747239,5318503,618395,696612,1,
1597344,2213803,363846,829616,0,
704034,968310,1298972,1561051,0,
4829647,5235506,910692,953962,0,
1908043,5768426,1038402,1089164,0,
3454140,3837957,680215,1459139,0,
3357699,4267792,1062076,1503990,0,
78882,919554,972849,1056271,0,
4292909,5477745,85857,292778,98,
3126598,6109922,1048342,1315923,0,
485494,5886731,909025,1485632,0,
94050,4833785,275366,504976,3,
4708592,5879282,278485,1364622,11,
980541,4757175,409943,810605,2,
1122840,2370234,83291,992101,57,
3563842,5111813,898004,1212488,0,
1223405,3002643,805389,1403659,0,
1728483,3980198,1116523,1167623,0,
1853974,4352879,463178,899545,1,
3177051,5379802,477706,1079296,2,
4821958,6136102,135680,1473240,55,
1062268,1820106,89787,253369,8,
525796,2907260,1177030,1492043,0,
4133570,5588361,1073081,1482275,0,
1352378,2672689,317219,1464572,1,
1121249,5732150,292080,1043673,10,
463909,4256817,192153,1416306,3,
1437295,2634928,215056,629372,1,
3575768,4712085,139704,1181272,14,
1828114,4848893,137794,1153098,21,
182928,5225507,33820,685171,695,
1449040,2045522,1059917,1501260,0,
3624854,5528034,191259,1034761,21,
3180071,5265024,788821,1225637,0,
4002143,5144473,930162,1229360,0,
875777,2580318,1002952,1386974,0,
2004481,6243561,1029601,1562652,0,
3171203,4230862,16713,125887,266,
672399,5891139,99915,1336650,219,
59938,5918951,16628,948949,2503,
1693273,5665420,891609,973720,0,
2347587,5146459,119821,1158511,40,
4962881,5845062,369244,1118029,4,
1824416,3489221,142614,589762,5,
2044143,6104112,17413,1034174,2574,
3181223,4894304,204675,993890,5,
3856614,4225055,280998,1220706,0,
2102109,4833617,536987,1318411,1,
3331273,5205470,1157937,1440636,0,
2719506,3821519,194772,1080210,0,
